#TE_family	subclass	superfamily	count	idn	sd	indels	tsd	length	frag	nest
ATCOPI1#LTR/Copia	LTR/Copia	LTR_retrotransposon	43	94	9	8	5,5	5133	92	14
ATCOPIA10#LTR/Copia	LTR/Copia	LTR_retrotransposon	52	93	16	8	5,5	5186	85	17
ATCOPIA11#LTR/Copia	LTR/Copia	LTR_retrotransposon	21	86	15	6	5,5	5062	82	27
ATCOPIA12#LTR/Copia	LTR/Copia	LTR_retrotransposon	8	81	4	12	5,5	5111	90	24
ATCOPIA13#LTR/Copia	LTR/Copia	LTR_retrotransposon	33	92	5	12	5,5	4912	91	29
ATCOPIA14#LTR/Copia	LTR/Copia	LTR_retrotransposon	29	88	15	19	5,5	4968	92	13
ATCOPIA15#LTR/Copia	LTR/Copia	LTR_retrotransposon	72	86	18	19	5,5	4838	86	7
ATCOPIA16#LTR/Copia	LTR/Copia	LTR_retrotransposon	70	87	1	20	5,5	5134	97	29
ATCOPIA17#LTR/Copia	LTR/Copia	LTR_retrotransposon	86	94	18	20	5,5	5444	93	6
ATCOPIA18A#LTR/Copia	LTR/Copia	LTR_retrotransposon	36	93	1	8	5,5	5256	96	28
ATCOPIA18#LTR/Copia	LTR/Copia	LTR_retrotransposon	59	86	6	15	5,5	2384	85	19
ATCOPIA19#LTR/Copia	LTR/Copia	LTR_retrotransposon	23	86	1	18	5,5	4950	81	11
ATCOPIA1#LTR/Copia	LTR/Copia	LTR_retrotransposon	87	91	8	12	5,5	5139	85	2
ATCOPIA20#LTR/Copia	LTR/Copia	LTR_retrotransposon	53	93	12	12	5,5	5565	91	1
ATCOPIA21#LTR/Copia	LTR/Copia	LTR_retrotransposon	36	95	5	13	5,5	4742	86	28
ATCOPIA22#LTR/Copia	LTR/Copia	LTR_retrotransposon	85	94	10	12	5,5	4872	81	7
ATCOPIA23#LTR/Copia	LTR/Copia	LTR_retrotransposon	63	93	18	15	5,5	4567	88	17
ATCOPIA24#LTR/Copia	LTR/Copia	LTR_retrotransposon	10	82	9	15	5,5	5099	87	28
ATCOPIA25#LTR/Copia	LTR/Copia	LTR_retrotransposon	11	83	8	15	5,5	4974	83	17
ATCOPIA26#LTR/Copia	LTR/Copia	LTR_retrotransposon	51	84	7	6	5,5	4875	96	8
ATCOPIA27#LTR/Copia	LTR/Copia	LTR_retrotransposon	97	95	7	6	5,5	6332	92	3
ATCOPIA28#LTR/Copia	LTR/Copia	LTR_retrotransposon	49	90	1	19	5,5	5070	98	1
ATCOPIA29#LTR/Copia	LTR/Copia	LTR_retrotransposon	84	93	9	10	5,5	3767	93	18
ATCOPIA2#LTR/Copia	LTR/Copia	LTR_retrotransposon	56	85	12	13	5,5	4828	85	23
ATCOPIA30#LTR/Copia	LTR/Copia	LTR_retrotransposon	63	90	10	15	5,5	4237	91	15
ATCOPIA31#LTR/Copia	LTR/Copia	LTR_retrotransposon	7	86	17	10	5,5	4626	93	21
ATCOPIA32#LTR/Copia	LTR/Copia	LTR_retrotransposon	20	81	6	15	5,5	5787	83	22
ATCOPIA33#LTR/Copia	LTR/Copia	LTR_retrotransposon	70	84	7	12	5,5	5047	95	7
ATCOPIA34#LTR/Copia	LTR/Copia	LTR_retrotransposon	81	85	7	11	5,5	4752	96	27
ATCOPIA35#LTR/Copia	LTR/Copia	LTR_retrotransposon	46	88	1	13	5,5	4710	97	16
ATCOPIA36#LTR/Copia	LTR/Copia	LTR_retrotransposon	41	91	18	15	5,5	4726	95	16
ATCOPIA37#LTR/Copia	LTR/Copia	LTR_retrotransposon	34	93	13	20	5,5	6028	80	3
ATCOPIA38B#LTR/Copia	LTR/Copia	LTR_retrotransposon	48	87	8	19	5,5	4803	89	15
ATCOPIA38#LTR/Copia	LTR/Copia	LTR_retrotransposon	47	95	14	5	5,5	4832	97	19
ATCOPIA39#LTR/Copia	LTR/Copia	LTR_retrotransposon	69	88	15	11	5,5	4012	92	30
ATCOPIA3#LTR/Copia	LTR/Copia	LTR_retrotransposon	97	86	1	14	5,5	4633	95	26
ATCOPIA41#LTR/Copia	LTR/Copia	LTR_retrotransposon	44	83	12	11	5,5	6478	98	17
ATCOPIA42#LTR/Copia	LTR/Copia	LTR_retrotransposon	20	90	9	20	5,5	7724	83	10
ATCOPIA43#LTR/Copia	LTR/Copia	LTR_retrotransposon	17	95	19	13	5,5	9103	86	23
ATCOPIA44#LTR/Copia	LTR/Copia	LTR_retrotransposon	42	91	10	16	5,5	5194	90	22
ATCOPIA45#LTR/Copia	LTR/Copia	LTR_retrotransposon	52	83	8	19	5,5	4817	85	23
ATCOPIA46#LTR/Copia	LTR/Copia	LTR_retrotransposon	51	84	12	9	5,5	5006	88	24
ATCOPIA47#LTR/Copia	LTR/Copia	LTR_retrotransposon	66	94	16	9	5,5	5063	88	22
ATCOPIA48#LTR/Copia	LTR/Copia	LTR_retrotransposon	11	85	3	9	5,5	5250	96	19
ATCOPIA49#LTR/Copia	LTR/Copia	LTR_retrotransposon	61	86	13	9	5,5	5220	91	7
ATCOPIA4#LTR/Copia	LTR/Copia	LTR_retrotransposon	57	85	4	19	5,5	4753	81	3
ATCOPIA50#LTR/Copia	LTR/Copia	LTR_retrotransposon	63	94	5	9	5,5	5652	91	29
ATCOPIA51#LTR/Copia	LTR/Copia	LTR_retrotransposon	10	93	6	13	5,5	4972	94	28
ATCOPIA52#LTR/Copia	LTR/Copia	LTR_retrotransposon	11	84	2	20	5,5	4937	90	11
ATCOPIA53#LTR/Copia	LTR/Copia	LTR_retrotransposon	94	81	18	6	5,5	5163	88	6
ATCOPIA54#LTR/Copia	LTR/Copia	LTR_retrotransposon	81	85	8	5	5,5	4693	94	21
ATCOPIA55#LTR/Copia	LTR/Copia	LTR_retrotransposon	94	82	16	20	5,5	5278	96	21
ATCOPIA56#LTR/Copia	LTR/Copia	LTR_retrotransposon	98	85	7	8	5,5	5476	81	24
ATCOPIA57#LTR/Copia	LTR/Copia	LTR_retrotransposon	86	86	14	6	5,5	2062	87	10
ATCOPIA58#LTR/Copia	LTR/Copia	LTR_retrotransposon	34	92	7	20	5,5	5903	84	17
ATCOPIA59#LTR/Copia	LTR/Copia	LTR_retrotransposon	40	93	3	19	5,5	4727	80	1
ATCOPIA5#LTR/Copia	LTR/Copia	LTR_retrotransposon	94	83	2	9	5,5	4686	83	8
ATCOPIA60#LTR/Copia	LTR/Copia	LTR_retrotransposon	54	80	3	5	5,5	3291	94	11
ATCOPIA61#LTR/Copia	LTR/Copia	LTR_retrotransposon	89	89	9	9	5,5	5019	98	11
