#TE_family	subclass	superfamily	count	idn	sd	indels	tsd	length	frag	nest
AR12	Unspecified	Unspecified	2737	82	6	7	0,0	179	56	0
AR3	Unspecified	Unspecified	59	92	3	9	0,0	322	58	0
ARNOLD1#DNA/MuDR	DNA	DNA/DTM	20	79	12	30	8,9	15815	100	0
ARNOLD2#DNA/MuDR	DNA	DNA/DTM	40	88	11	27	8,9	15490	99	0
ARNOLD3#DNA/MuDR	DNA	DNA/DTM	33	77	11	34	8,9	14724	98	0
ARNOLD4#DNA/MuDR	DNA	DNA/DTM	14	76	12	35	8,9	8459	100	0
ARNOLDY1#DNA/MuDR	DNA	DNA/DTM	172	74	10	40	8,9	1936	94	0
ARNOLDY2#DNA/MuDR	DNA	DNA/DTM	155	74	9	39	8,9	1179	91	0
AT9MU1#DNA/MuDR	DNA	DNA/DTM	11	75	7	18	8,9	2102	100	0
AT9NMU1#DNA/MuDR	DNA	DNA/DTM	36	88	12	25	8,9	926	85	0
AT9TSD1#DNA/MuDR	DNA	DNA/DTM	46	76	11	27	8,9	2216	96	0
ATCLUST1	Unspecified	Unspecified	122	81	8	30	0,0	188	80	0
ATCOPIA1#LTR/Copia	LTR	LTR/Copia	13	80	14	23	5,5	5139	92	24
ATCOPIA10#LTR/Copia	LTR	LTR/Copia	10	77	13	21	5,5	5186	85	4
ATCOPIA11#LTR/Copia	LTR	LTR/Copia	22	71	12	39	5,5	5062	98	20
ATCOPIA12#LTR/Copia	LTR	LTR/Copia	14	75	10	13	5,5	5111	100	2
ATCOPIA13#LTR/Copia	LTR	LTR/Copia	40	73	10	19	5,5	4912	100	12
ATCOPIA14#LTR/Copia	LTR	LTR/Copia	5	74	9	30	5,5	4968	100	27
ATCOPIA15#LTR/Copia	LTR	LTR/Copia	4	80	18	41	5,5	4838	88	18
ATCOPIA16#LTR/Copia	LTR	LTR/Copia	9	76	9	17	5,5	5134	83	4
ATCOPIA17#LTR/Copia	LTR	LTR/Copia	7	71	13	26	5,5	5444	86	7
ATCOPIA18#LTR/Copia	LTR	LTR/Copia	3	79	19	18	5,5	2384	83	3
ATCOPIA18A#LTR/Copia	LTR	LTR/Copia	3	61	5	35	5,5	5256	100	25
ATCOPIA19#LTR/Copia	LTR	LTR/Copia	5	87	11	9	5,5	4950	90	7
ATCOPIA2#LTR/Copia	LTR	LTR/Copia	10	63	6	22	5,5	4828	100	3
ATCOPIA20#LTR/Copia	LTR	LTR/Copia	6	83	16	18	5,5	5565	92	18
ATCOPIA21#LTR/Copia	LTR	LTR/Copia	11	73	11	23	5,5	4742	100	16
ATCOPIA22#LTR/Copia	LTR	LTR/Copia	14	78	15	19	5,5	4872	86	6
ATCOPIA23#LTR/Copia	LTR	LTR/Copia	5	67	9	14	5,5	4567	100	22
ATCOPIA24#LTR/Copia	LTR	LTR/Copia	242	82	8	16	5,5	5099	100	17
ATCOPIA25#LTR/Copia	LTR	LTR/Copia	4	65	5	20	5,5	4974	100	0
ATCOPIA26#LTR/Copia	LTR	LTR/Copia	11	71	11	18	5,5	4875	95	28
ATCOPIA27#LTR/Copia	LTR	LTR/Copia	13	80	17	30	5,5	6332	85	0
ATCOPIA28#LTR/Copia	LTR	LTR/Copia	56	75	12	19	5,5	5070	100	3
ATCOPIA29#LTR/Copia	LTR	LTR/Copia	18	71	14	23	5,5	3767	97	7
ATCOPIA3#LTR/Copia	LTR	LTR/Copia	5	69	7	26	5,5	4633	100	17
ATCOPIA30#LTR/Copia	LTR	LTR/Copia	30	75	6	26	5,5	4237	100	6
ATCOPIA31#LTR/Copia	LTR	LTR/Copia	5	71	12	19	5,5	4626	100	26
ATCOPIA31A#LTR/Copia	LTR	LTR/Copia	1	63	0	11	5,5	4664	100	21
ATCOPIA32#LTR/Copia	LTR	LTR/Copia	8	70	14	32	5,5	5787	94	12
ATCOPIA32B#LTR/Copia	LTR	LTR/Copia	10	73	14	24	5,5	5771	90	3
ATCOPIA33#LTR/Copia	LTR	LTR/Copia	3	79	18	19	5,5	5047	83	22
ATCOPIA34#LTR/Copia	LTR	LTR/Copia	15	80	12	16	5,5	4752	97	23
ATCOPIA35#LTR/Copia	LTR	LTR/Copia	37	73	10	24	5,5	4710	97	26
ATCOPIA36#LTR/Copia	LTR	LTR/Copia	13	75	13	24	5,5	4726	96	2
ATCOPIA37#LTR/Copia	LTR	LTR/Copia	32	74	12	32	5,5	6028	98	19
ATCOPIA38#LTR/Copia	LTR	LTR/Copia	6	79	16	25	5,5	4832	83	3
